	entities	intent	text	clean_text	bow	len
1702	[{'start': 58, 'end': 62, 'value': 'eyes', 'entity': 'body_part'}, {'start': 40, 'end': 45, 'value': 'sharp', 'entity': 'pain_desc'}, {'start': 0, 'end': 13, 'value': 'Every morning', 'entity': 'period'}]	pain	Every morning, when I wake up, I feel a sharp pain in the eyes	['every', 'morning', 'wake', 'feel', 'sharp', 'pain', 'eye']	[(20, 1), (52, 1), (104, 1), (394, 1), (466, 1), (537, 1), (1057, 1)]	7
1703	[{'start': 21, 'end': 30, 'value': 'shoulders', 'entity': 'body_part'}, {'start': 0, 'end': 8, 'value': 'annoying', 'entity': 'pain_desc'}]	pain	annoying pain in the shoulders	['annoy', 'pain', 'shoulder']	[(516, 1), (537, 1), (1305, 1)]	3
1704	[]	fallback	my horse is ok	['horse', 'okay']	[(1263, 1), (1306, 1)]	2
1705	[{'start': 12, 'end': 19, 'value': 'nagging', 'entity': 'pain_desc'}, {'start': 26, 'end': 33, 'value': 'one day', 'entity': 'period'}]	pain	The pain is nagging since one day	['pain', 'nag', 'since', 'one', 'day']	[(1, 1), (80, 1), (91, 1), (537, 1), (1307, 1)]	5
1706	[{'start': 7, 'end': 16, 'value': 'frightful', 'entity': 'pain_desc'}, {'start': 29, 'end': 35, 'value': 'finger', 'entity': 'body_part'}]	pain	I've a frightful pain in the finger	['frightful', 'pain', 'finger']	[(537, 1), (1037, 1), (1308, 1)]	3
1707	[{'start': 12, 'end': 19, 'value': 'gnawing', 'entity': 'pain_desc'}]	pain	The ache is gnawing	['ache', 'gnaw']	[(965, 1), (1309, 1)]	2
1708	[{'start': 9, 'end': 17, 'value': 'shooting', 'entity': 'pain_desc'}, {'start': 29, 'end': 39, 'value': 'lower back', 'entity': 'body_part'}]	pain	I felt a shooting pain in my lower back	['feel', 'shoot', 'pain', 'low', 'back']	[(38, 1), (104, 1), (188, 1), (313, 1), (537, 1)]	5
1709	[{'start': 6, 'end': 14, 'value': 'writhing', 'entity': 'pain_desc'}, {'start': 48, 'end': 55, 'value': 'stomach', 'entity': 'body_part'}]	pain	I was writhing on the floor in pain, holding my stomach.      	['writhe', 'floor', 'pain', 'hold', 'stomach']	[(537, 1), (903, 1), (1310, 1), (1311, 1), (1312, 1)]	5
1710	[{'start': 9, 'end': 18, 'value': 'sickening', 'entity': 'pain_desc'}, {'start': 19, 'end': 23, 'value': 'back', 'entity': 'body_part'}]	pain	I have a sickening back pain	['sicken', 'back', 'pain']	[(38, 1), (537, 1), (1313, 1)]	3
1711	[{'start': 16, 'end': 22, 'value': 'severe', 'entity': 'pain_desc'}, {'start': 36, 'end': 41, 'value': 'chest', 'entity': 'body_part'}]	pain	I complained of severe pains in the chest	['complain', 'severe', 'pain', 'chest']	[(537, 1), (556, 1), (949, 1), (1314, 1)]	4
1712	[{'start': 9, 'end': 13, 'value': 'bone', 'entity': 'body_part'}, {'start': 33, 'end': 43, 'value': 'unbearable', 'entity': 'pain_desc'}]	pain	I have a bone disease that cause unbearable pain   	['bone', 'disease', 'unbearable', 'pain']	[(537, 1), (1068, 1), (1315, 1), (1316, 1)]	4
1713	[{'start': 13, 'end': 21, 'value': 'aerobics', 'entity': 'activity_sport'}, {'start': 22, 'end': 29, 'value': 'tonight', 'entity': 'period'}]	activity	I'm going to aerobics tonight	['go', 'aerobics', 'tonight']	[(11, 1), (714, 1), (1317, 1)]	3
1714	[{'start': 18, 'end': 24, 'value': 'hockey', 'entity': 'activity_sport'}]	activity	I'm going to play hockey	['go', 'play', 'hockey']	[(11, 1), (1189, 1), (1195, 1)]	3
1715	[{'start': 21, 'end': 30, 'value': 'ping pong', 'entity': 'activity_sport'}, {'start': 31, 'end': 43, 'value': 'during lunch', 'entity': 'period'}, {'start': 55, 'end': 64, 'value': 'two hours', 'entity': 'duration'}]	activity	me and George played ping pong during lunch for, like, two hours.	['george', 'play', 'ping', 'pong', 'lunch', 'like', 'two', 'hour']	[(106, 1), (362, 1), (364, 1), (596, 1), (1189, 1), (1318, 1), (1319, 1), (1320, 1)]	8
1716	[{'start': 0, 'end': 14, 'value': 'in the morning', 'entity': 'period'}, {'start': 19, 'end': 28, 'value': 'shoveling', 'entity': 'activity_sport'}]	activity	in the morning I'm shoveling, it snowed.	['morning', 'shovel', 'snow']	[(52, 1), (1321, 1), (1322, 1)]	3
1717	[{'start': 0, 'end': 7, 'value': 'Digging', 'entity': 'activity_sport'}]	activity	Digging ditches, that is a job.	['digging', 'ditch', 'job']	[(1323, 1), (1324, 1), (1325, 1)]	3
1718	[{'start': 10, 'end': 19, 'value': 'rapelling', 'entity': 'activity_sport'}]	activity	I used my rapelling gear.	['use', 'rapelling', 'gear']	[(82, 1), (1326, 1), (1327, 1)]	3
1719	[{'start': 13, 'end': 26, 'value': 'step aerobics', 'entity': 'activity_sport'}, {'start': 33, 'end': 42, 'value': 'noon time', 'entity': 'period'}]	activity	We are doing step aerobics every noon time	['step', 'aerobics', 'every', 'noon', 'time']	[(20, 1), (92, 1), (1025, 1), (1317, 1), (1328, 1)]	5
1720	[{'start': 19, 'end': 31, 'value': 'jumping rope', 'entity': 'activity_sport'}, {'start': 43, 'end': 50, 'value': '5 hours', 'entity': 'duration'}]	activity	I'm exhausted from jumping rope like since 5 hours	['exhaust', 'jump', 'rope', 'like', 'since', '_num_', 'hour']	[(27, 1), (80, 1), (361, 1), (362, 1), (364, 1), (1128, 1), (1192, 1)]	7
1721	[{'start': 11, 'end': 17, 'value': 'boxing', 'entity': 'activity_sport'}]	activity	I was in a boxing match	['box', 'match']	[(1329, 1), (1330, 1)]	2
1722	[{'start': 8, 'end': 16, 'value': 'sparring', 'entity': 'activity_sport'}]	activity	I did a sparring session.	['spar', 'session']	[(1331, 1), (1332, 1)]	2
1723	[{'start': 41, 'end': 45, 'value': 'week', 'entity': 'period'}, {'start': 55, 'end': 72, 'value': 'wheelchair tennis', 'entity': 'activity_sport'}]	activity	I am taking part in some activities this week, such as wheelchair tennis.	['take', 'part', 'activity', 'week', 'wheelchair', 'tennis']	[(4, 1), (108, 1), (725, 1), (849, 1), (1190, 1), (1333, 1)]	6
1724	[{'start': 41, 'end': 44, 'value': 'day', 'entity': 'period'}, {'start': 54, 'end': 59, 'value': 'rugby', 'entity': 'activity_sport'}]	activity	I am taking part in some activities this day, such as rugby	['take', 'part', 'activity', 'day', 'rugby']	[(1, 1), (108, 1), (725, 1), (849, 1), (1334, 1)]	5
1725	[{'start': 45, 'end': 57, 'value': 'beach volley', 'entity': 'activity_sport'}]	activity	I am taking part in some activities, such as beach volley	['take', 'part', 'activity', 'beach', 'volley']	[(108, 1), (725, 1), (849, 1), (1335, 1), (1336, 1)]	5
1726	[{'start': 29, 'end': 39, 'value': 'speedskate', 'entity': 'activity_sport'}]	activity	I did go to the skatepark to speedskate	['go', 'skatepark', 'speedskate']	[(11, 1), (1337, 1), (1338, 1)]	3
1727	[{'start': 23, 'end': 34, 'value': 'racquetball', 'entity': 'activity_sport'}, {'start': 2, 'end': 8, 'value': 'always', 'entity': 'period'}]	activity	I always liked playing racquetball.	['always', 'like', 'play', 'racquetball']	[(227, 1), (364, 1), (1189, 1), (1339, 1)]	4
1728	[{'start': 0, 'end': 8, 'value': 'Sledding', 'entity': 'activity_sport'}]	activity	Sledding on that giant hill 	['sledding', 'giant', 'hill']	[(1249, 1), (1340, 1), (1341, 1)]	3
1729	[{'start': 14, 'end': 22, 'value': 'baseball', 'entity': 'activity_sport'}]	activity	I was playing baseball	['play', 'baseball']	[(1189, 1), (1342, 1)]	2
1730	[{'start': 18, 'end': 26, 'value': 'football', 'entity': 'activity_sport'}]	activity	Me, I was playing football.	['play', 'football']	[(1189, 1), (1251, 1)]	2
1731	[{'start': 24, 'end': 36, 'value': 'during lunch', 'entity': 'period'}, {'start': 14, 'end': 23, 'value': 'Ping-Pong', 'entity': 'activity_sport'}]	activity	I was playing Ping-Pong during lunch.	['play', 'ping', 'pong', 'lunch']	[(596, 1), (1189, 1), (1319, 1), (1320, 1)]	4
1732	[{'start': 13, 'end': 17, 'value': 'race', 'entity': 'activity_sport'}]	activity	I came for a race through the forest	['come', 'race', 'forest']	[(74, 1), (853, 1), (1343, 1)]	3
1733	[{'start': 13, 'end': 16, 'value': 'jog', 'entity': 'activity_sport'}]	activity	I went for a jog	['go', 'jog']	[(11, 1), (380, 1)]	2
1734	[]	social	I see a lot of friends	['see', 'lot', 'friend']	[(158, 1), (167, 1), (190, 1)]	3
1735	[]	social	I had a drink with my neighboors	['drink', 'neighboors']	[(2, 1), (1344, 1)]	2
1736	[{'start': 16, 'end': 29, 'value': 'every weekend', 'entity': 'period'}]	social	I see my family every weekend	['see', 'family', 'every', 'weekend']	[(20, 1), (167, 1), (1080, 1), (1345, 1)]	4
1737	[]	social	I talk to my family a lot	['talk', 'family', 'lot']	[(158, 1), (1080, 1), (1346, 1)]	3
1738	[]	social	I enjoy being with my friends	['enjoy', 'friend']	[(190, 1), (579, 1)]	2
1739	[]	social	I play with my friends	['play', 'friend']	[(190, 1), (1189, 1)]	2
1740	[]	social	I like to spent time with my friends	['like', 'spend', 'time', 'friend']	[(92, 1), (190, 1), (364, 1), (618, 1)]	4
1741	[]	social	My family likes my company	['family', 'like', 'company']	[(364, 1), (1080, 1), (1347, 1)]	3
1742	[{'start': 21, 'end': 34, 'value': 'every weekend', 'entity': 'period'}]	social	My friends come over every weekend	['friend', 'come', 'every', 'weekend']	[(20, 1), (74, 1), (190, 1), (1345, 1)]	4
1743	[]	social	I often see my friends	['often', 'see', 'friend']	[(33, 1), (167, 1), (190, 1)]	3
1744	[{'start': 19, 'end': 30, 'value': 'once a week', 'entity': 'period'}]	social	My friends call me once a week	['friend', 'call', 'week']	[(4, 1), (190, 1), (1348, 1)]	3
1745	[{'start': 17, 'end': 35, 'value': 'every now and then', 'entity': 'period'}]	social	I hear my family every now and then	['hear', 'family', 'every']	[(20, 1), (490, 1), (1080, 1)]	3
1746	[{'start': 17, 'end': 32, 'value': 'every other day', 'entity': 'period'}]	social	I hear my family every other day	['hear', 'family', 'every', 'day']	[(1, 1), (20, 1), (490, 1), (1080, 1)]	4
1747	[{'start': 26, 'end': 40, 'value': 'every saturday', 'entity': 'period'}]	social	I meet with my neighboors every saturday	['meet', 'neighboors', 'every', 'saturday']	[(20, 1), (767, 1), (1344, 1), (1349, 1)]	4
1748	[{'start': 0, 'end': 11, 'value': 'On saturday', 'entity': 'period'}, {'start': 17, 'end': 24, 'value': 'dancing', 'entity': 'activity_sport'}]	social	On saturday i go dancing	['saturday', 'go', 'dance']	[(11, 1), (767, 1), (1135, 1)]	3
1749	[{'start': 14, 'end': 28, 'value': 'whole weekends', 'entity': 'period'}]	social	I am busy the whole weekends	['busy', 'whole', 'weekend']	[(378, 1), (1345, 1), (1350, 1)]	3
1750	[]	social	Weekends are made to party	['weekends', 'make', 'party']	[(36, 1), (196, 1), (287, 1)]	3
1751	[{'start': 17, 'end': 32, 'value': 'once in a while', 'entity': 'period'}]	social	I see my friends once in a while	['see', 'friend']	[(167, 1), (190, 1)]	2
1752	[]	social	I miss my family	['miss', 'family']	[(1080, 1), (1081, 1)]	2
1753	[{'start': 20, 'end': 32, 'value': 'once a month', 'entity': 'period'}]	social	My friends visit me once a month	['friend', 'visit', 'month']	[(12, 1), (190, 1), (1007, 1)]	3
1754	[]	social	My neighboors ignore me	['neighboors', 'ignore']	[(1344, 1), (1351, 1)]	2
1755	[{'start': 33, 'end': 38, 'value': 'often', 'entity': 'period'}]	social	I would like to see friends more often	['would', 'like', 'see', 'friend', 'much', 'often']	[(33, 1), (34, 1), (119, 1), (167, 1), (190, 1), (364, 1)]	6
1756	[]	social	I see my friends enough	['see', 'friend', 'enough']	[(167, 1), (190, 1), (489, 1)]	3
1757	[{'start': 19, 'end': 32, 'value': 'every weekend', 'entity': 'period'}]	social	I visit my parents every weekend	['visit', 'parent', 'every', 'weekend']	[(20, 1), (1007, 1), (1345, 1), (1352, 1)]	4
1758	[{'start': 25, 'end': 38, 'value': 'every quarter', 'entity': 'period'}]	social	I visit my tant and aunt every quarter	['visit', 'tant', 'aunt', 'every', 'quarter']	[(20, 1), (1007, 1), (1026, 1), (1353, 1), (1354, 1)]	5
1759	[{'start': 41, 'end': 46, 'value': 'often', 'entity': 'period'}]	social	I wish I could play with my friends more often	['wish', 'play', 'friend', 'much', 'often']	[(33, 1), (34, 1), (190, 1), (1189, 1), (1355, 1)]	5
1760	[]	social	If only I could do fun stuff	['fun', 'stuff']	[(699, 1), (1247, 1)]	2
1761	[]	social	Once I will feel better, I will meet with my friends again	['feel', 'well', 'meet', 'friend']	[(104, 1), (190, 1), (399, 1), (1349, 1)]	4
1762	[]	social	I feel lonely	['feel', 'lonely']	[(104, 1), (1074, 1)]	2
1763	[]	social	I don't have friends	['friend']	[(190, 1)]	1
1764	[]	social	I lost my friends	['lose', 'friend']	[(190, 1), (483, 1)]	2
1765	[]	social	My neighboors do not recognize me anymore	['neighboors', 'recognize', 'anymore']	[(214, 1), (1344, 1), (1356, 1)]	3
1766	[]	social	I will die alone	['die', 'alone']	[(355, 1), (1357, 1)]	2
1767	[{'start': 29, 'end': 40, 'value': 'once a year', 'entity': 'period'}]	social	I am staying with my friends once a year	['stay', 'friend', 'year']	[(14, 1), (190, 1), (443, 1)]	3
1768	[{'start': 24, 'end': 36, 'value': 'once a month', 'entity': 'period'}]	social	I am calling my parents once a month	['call', 'parent', 'month']	[(12, 1), (1348, 1), (1352, 1)]	3
1769	[{'start': 7, 'end': 16, 'value': 'every day', 'entity': 'period'}]	social	I chat every day	['chat', 'every', 'day']	[(1, 1), (20, 1), (1358, 1)]	3
1770	[]	social	My phone never rings	['phone', 'never', 'ring']	[(406, 1), (890, 1), (1273, 1)]	3
1771	[]	social	No one misses me	['one', 'miss']	[(91, 1), (1081, 1)]	2
1772	[]	social	I stopped playing games	['stop', 'play', 'game']	[(25, 1), (1189, 1), (1300, 1)]	3
1773	[]	social	I am lonely and I don't like it	['lonely', 'like']	[(364, 1), (1074, 1)]	2
1774	[]	social	I feel isolated	['feel', 'isolate']	[(104, 1), (1094, 1)]	2
1775	[]	social	I spent my evenings by myself	['spend', 'evening']	[(618, 1), (1359, 1)]	2
1776	[]	social	I spent most of the time in my couch	['spend', 'much', 'time', 'couch']	[(34, 1), (92, 1), (618, 1), (1360, 1)]	4
1777	[]	social	I never see anyone else than my doctor	['never', 'see', 'anyone', 'else', 'doctor']	[(167, 1), (243, 1), (406, 1), (1075, 1), (1361, 1)]	5
1778	[]	social	I never go to the cinema	['never', 'go', 'cinema']	[(11, 1), (406, 1), (1362, 1)]	3
1779	[]	social	I cannot watch an entire movie	['watch', 'entire', 'movie']	[(98, 1), (175, 1), (1363, 1)]	3
1780	[]	social	I feel rejected	['feel', 'reject']	[(104, 1), (1364, 1)]	2
1781	[]	social	My friends think I am unsocial	['friend', 'think', 'unsocial']	[(65, 1), (190, 1), (1365, 1)]	3
1782	[]	social	I am never invited	['never', 'invite']	[(406, 1), (1366, 1)]	2
1783	[]	social	I feel ignored	['feel', 'ignore']	[(104, 1), (1351, 1)]	2
1784	[{'start': 22, 'end': 35, 'value': 'every weekend', 'entity': 'period'}]	social	I could go to a party every weekend	['go', 'party', 'every', 'weekend']	[(11, 1), (20, 1), (287, 1), (1345, 1)]	4
1785	[]	social	I have so much friends	['much', 'friend']	[(34, 1), (190, 1)]	2
1786	[]	social	My family does not speak to my anymore	['family', 'doe', 'speak', 'anymore']	[(214, 1), (509, 1), (863, 1), (1080, 1)]	4
1787	[]	social	I lost my boyfriend	['lose', 'boyfriend']	[(483, 1), (1367, 1)]	2
1788	[]	social	I divorced	['divorce']	[(1368, 1)]	1
1789	[]	social	We will get married	['get', 'marry']	[(51, 1), (1369, 1)]	2
1790	[]	social	I lost my friends	['lose', 'friend']	[(190, 1), (483, 1)]	2
1791	[]	social	It is becoming difficult to go out	['become', 'difficult', 'go']	[(11, 1), (48, 1), (764, 1)]	3
1792	[]	social	It is difficult to see friends	['difficult', 'see', 'friend']	[(167, 1), (190, 1), (764, 1)]	3
1793	[]	social	I don't have a social life anymore	['social', 'life', 'anymore']	[(154, 1), (214, 1), (1370, 1)]	3
1794	[]	social	I don't leave home	['leave', 'home']	[(40, 1), (107, 1)]	2
1795	[]	social	I'm always outside	['always', 'outside']	[(227, 1), (1371, 1)]	2
1796	[]	social	I am never by myself	['never']	[(406, 1)]	1
1797	[]	social	I an surrounded by friends	['surround', 'friend']	[(190, 1), (1139, 1)]	2
1798	[]	social	My pet is my only friend	['pet', 'friend']	[(190, 1), (1372, 1)]	2
1799	[]	social	I am bored in the evening	['bore', 'even']	[(76, 1), (1373, 1)]	2
1800	[]	social	I hope I will soon be able to have a normal social life again	['hope', 'soon', 'able', 'normal', 'social', 'life']	[(154, 1), (164, 1), (441, 1), (492, 1), (651, 1), (1370, 1)]	6
1801	[]	social	I miss my social life	['miss', 'social', 'life']	[(154, 1), (1081, 1), (1370, 1)]	3
1802	[]	social	I miss our barbecues in the summer	['miss', 'barbecue', 'summer']	[(354, 1), (1081, 1), (1374, 1)]	3
1803	[]	social	We stopped going to wine tastings	['stop', 'go', 'wine', 'tastings']	[(5, 1), (11, 1), (25, 1), (1375, 1)]	4
1804	[]	social	My wife wants to leave me	['wife', 'want', 'leave']	[(59, 1), (107, 1), (1376, 1)]	3
1805	[]	social	I don't find a girlfriend	['find', 'girlfriend']	[(548, 1), (1377, 1)]	2
1806	[]	social	I don't find a boyfriend	['find', 'boyfriend']	[(548, 1), (1367, 1)]	2
1807	[]	social	None likes to spend time with me	['none', 'like', 'spend', 'time']	[(92, 1), (364, 1), (434, 1), (618, 1)]	4
1808	[]	social	I go to bed every day at 9PM	['go', 'bed', 'every', 'day', '_num_pm']	[(1, 1), (11, 1), (20, 1), (367, 1), (432, 1)]	5
1809	[{'start': 45, 'end': 59, 'value': 'in the weekend', 'entity': 'period'}]	social	I have so much fun that I almost don't sleep in the weekend	['much', 'fun', 'almost', 'sleep', 'weekend']	[(34, 1), (94, 1), (359, 1), (699, 1), (1345, 1)]	5
1810	[{'start': 26, 'end': 49, 'value': 'after 10 in the evening', 'entity': 'period'}]	social	I almost never stay awake after 10 in the evening	['almost', 'never', 'stay', 'awake', '_num_', 'even']	[(27, 1), (76, 1), (94, 1), (406, 1), (438, 1), (443, 1)]	6
1811	[]	social	My last party was when I was still healthy	['last', 'party', 'still', 'healthy']	[(101, 1), (287, 1), (497, 1), (594, 1)]	4
1812	[]	social	My last date was 3 years ago	['last', 'date', '_num_', 'year', 'ago']	[(14, 1), (27, 1), (101, 1), (200, 1), (1378, 1)]	5
1813	[{'start': 12, 'end': 22, 'value': 'every week', 'entity': 'period'}]	social	I am dating every week	['date', 'every', 'week']	[(4, 1), (20, 1), (1378, 1)]	3
1814	[{'start': 27, 'end': 40, 'value': 'this week-end', 'entity': 'period'}]	social	I saw my childhood friends this week-end	['see', 'childhood', 'friend', 'week', 'end']	[(4, 1), (17, 1), (167, 1), (190, 1), (1379, 1)]	5
1815	[{'start': 14, 'end': 24, 'value': 'last night', 'entity': 'period'}]	social	I did a party last night	['party', 'last', 'night']	[(22, 1), (101, 1), (287, 1)]	3
1816	[]	social	I do not go out	['go']	[(11, 1)]	1
1817	[]	social	I am alone	['alone']	[(355, 1)]	1
1818	[]	social	I am forgotten by all	['forget']	[(583, 1)]	1
1819	[{'start': 3, 'end': 8, 'value': 'tooth', 'entity': 'body_part'}, {'start': 12, 'end': 26, 'value': 'bloody killing', 'entity': 'pain_desc'}]	pain	My tooth is bloody killing, not sure I can wait until next week to get it fixed 	['tooth', 'bloody', 'kill', 'sure', 'wait', 'next', 'week', 'get', 'fix']	[(4, 1), (51, 1), (123, 1), (414, 1), (475, 1), (1380, 1), (1381, 1), (1382, 1), (1383, 1)]	9
1820	[{'start': 7, 'end': 12, 'value': 'tooth', 'entity': 'body_part'}]	pain	ohh my tooth is hurts ohh it very hurts	['ohh', 'tooth', 'hurt', 'ohh', 'hurt']	[(959, 2), (1383, 1), (1384, 2)]	5
1821	[{'start': 4, 'end': 12, 'value': 'left leg', 'entity': 'body_part'}]	pain	The left leg hurts me	['leave', 'leg', 'hurt']	[(107, 1), (875, 1), (959, 1)]	3
1822	[{'start': 16, 'end': 23, 'value': '3 hours', 'entity': 'duration'}]	pain	I feel it since 3 hours	['feel', 'since', '_num_', 'hour']	[(27, 1), (80, 1), (104, 1), (362, 1)]	4
1823	[{'start': 10, 'end': 17, 'value': '3 hours', 'entity': 'duration'}, {'start': 2, 'end': 5, 'value': 'ran', 'entity': 'activity_sport'}]	activity	I ran for 3 hours	['run', '_num_', 'hour']	[(27, 1), (362, 1), (645, 1)]	3
1824	[{'start': 11, 'end': 19, 'value': 'two days', 'entity': 'duration'}]	pain	I hurt for two days	['hurt', 'two', 'day']	[(1, 1), (106, 1), (959, 1)]	3
1825	[]	positiveEmo	I am glad you asked	['glad', 'ask']	[(1177, 1), (1385, 1)]	2
1826	[]	fallback	rasa	['rasa']	[(1386, 1)]	1
1827	[{'start': 18, 'end': 25, 'value': '4 hours', 'entity': 'duration'}, {'start': 7, 'end': 13, 'value': 'cycled', 'entity': 'activity_sport'}]	activity	I have cycled for 4 hours	['cycle', '_num_', 'hour']	[(27, 1), (60, 1), (362, 1)]	3
1828	[{'start': 12, 'end': 17, 'value': 'sharp', 'entity': 'pain_desc'}]	pain	the pain is sharp and does not stop	['pain', 'sharp', 'doe', 'stop']	[(25, 1), (509, 1), (537, 1), (1057, 1)]	4
1829	[{'start': 14, 'end': 17, 'value': 'gym', 'entity': 'activity_sport'}]	activity	I went to the gym	['go', 'gym']	[(11, 1), (1387, 1)]	2
1830	[{'start': 11, 'end': 14, 'value': 'gym', 'entity': 'activity_sport'}]	activity	I did some gym	['gym']	[(1387, 1)]	1
1831	[{'start': 9, 'end': 16, 'value': 'gymming', 'entity': 'activity_sport'}]	activity	I did go gymming	['go', 'gymming']	[(11, 1), (1388, 1)]	2
1832	[]	agree	yes	['yes']	[(1389, 1)]	1
1833	[]	agree	indeed	['indeed']	[(1390, 1)]	1
1834	[]	agree	of course	['course']	[(1391, 1)]	1
1835	[]	agree	that sounds good	['sound', 'good']	[(61, 1), (1392, 1)]	2
1836	[]	agree	correct	['correct']	[(1393, 1)]	1
1837	[]	agree	yeah	['yes']	[(1389, 1)]	1
1838	[]	agree	ok	['okay']	[(1306, 1)]	1
1839	[]	agree	yes I do	['yes']	[(1389, 1)]	1
1840	[]	agree	yes I will	['yes']	[(1389, 1)]	1
1841	[]	agree	Let's do this	['let']	[(1122, 1)]	1
1842	[]	agree	Let's talk about it	['let', 'talk']	[(1122, 1), (1346, 1)]	2
1843	[]	agree	Let's go	['let', 'go']	[(11, 1), (1122, 1)]	2
1844	[]	agree	Go	['go']	[(11, 1)]	1
1845	[]	agree	I affirm	['affirm']	[(1394, 1)]	1
1846	[]	agree	affirm	['affirm']	[(1394, 1)]	1
1847	[]	agree	affirmative	['affirmative']	[(1395, 1)]	1
1848	[]	agree	That would be great	['would', 'great']	[(119, 1), (1065, 1)]	2
1849	[]	agree	Yes ok	['yes', 'okay']	[(1306, 1), (1389, 1)]	2
1850	[]	agree	K	['k']	[(1396, 1)]	1
1851	[]	agree	Yea	['yea']	[(1397, 1)]	1
1852	[]	agree	Yay	['yay']	[(1290, 1)]	1
1853	[]	agree	Yes I want to talk about it	['yes', 'want', 'talk']	[(59, 1), (1346, 1), (1389, 1)]	3
1854	[]	agree	Yes, I want to	['yes', 'want']	[(59, 1), (1389, 1)]	2
1855	[]	agree	Yes I would	['yes', 'would']	[(119, 1), (1389, 1)]	2
1856	[]	agree	Kay	['kay']	[(1398, 1)]	1
1857	[]	agree	Okay	['okay']	[(1306, 1)]	1
1858	[]	agree	Ok'	['ok']	[(1399, 1)]	1
1859	[]	agree	alright	['alright']	[(1400, 1)]	1
1860	[]	agree	absolutely	['absolutely']	[(224, 1)]	1
1861	[]	agree	Certainly	['certainly']	[(564, 1)]	1
1862	[]	agree	sounds great	['sound', 'great']	[(1065, 1), (1392, 1)]	2
1863	[]	agree	sure	['sure']	[(475, 1)]	1
1864	[]	agree	sure thing	['sure', 'thing']	[(475, 1), (506, 1)]	2
1865	[]	agree	Definitely!	['definitely']	[(1401, 1)]	1
1866	[]	agree	Will do	[]	[]	0
1867	[]	agree	sure!	['sure']	[(475, 1)]	1
1868	[]	agree	Let's Definitely do that!	['let', 'definitely']	[(1122, 1), (1401, 1)]	2
1869	[]	agree	Let's absolutely do that!	['let', 'absolutely']	[(224, 1), (1122, 1)]	2
1870	[]	agree	Let's Certainly do that!	['let', 'certainly']	[(564, 1), (1122, 1)]	2
1871	[]	agree	Let's do that!	['let']	[(1122, 1)]	1
1872	[]	agree	yes of course	['yes', 'course']	[(1389, 1), (1391, 1)]	2
1873	[]	agree	I will talk, yes	['talk', 'yes']	[(1346, 1), (1389, 1)]	2
1874	[]	agree	Yeeaah	['yeeaah']	[(1402, 1)]	1
1875	[]	agree	Maybe I will	['maybe']	[(341, 1)]	1
1876	[]	agree	Maybe agree	['maybe', 'agree']	[(341, 1), (1403, 1)]	2
1877	[]	agree	I'll try yes	['try', 'yes']	[(26, 1), (1389, 1)]	2
1878	[]	agree	Will try ok?	['try', 'okay']	[(26, 1), (1306, 1)]	2
1879	[]	agree	Ya	['ya']	[(1404, 1)]	1
1880	[]	agree	Sure is	['sure']	[(475, 1)]	1
1881	[]	agree	I am sure to	['sure']	[(475, 1)]	1
1882	[]	agree	thats correct	['correct']	[(1393, 1)]	1
1883	[]	agree	check	['check']	[(1405, 1)]	1
1884	[]	agree	Yeah ok	['yeah', 'okay']	[(1306, 1), (1406, 1)]	2
1885	[]	agree	Yeah sure	['yeah', 'sure']	[(475, 1), (1406, 1)]	2
1886	[]	agree	Yes sure	['yes', 'sure']	[(475, 1), (1389, 1)]	2
1887	[]	agree	Affirmative!	['affirmative']	[(1395, 1)]	1
1888	[]	agree	yes	['yes']	[(1389, 1)]	1
1889	[]	agree	indeed	['indeed']	[(1390, 1)]	1
1890	[]	agree	of course	['course']	[(1391, 1)]	1
1891	[]	agree	that sounds good	['sound', 'good']	[(61, 1), (1392, 1)]	2
1892	[]	agree	correct	['correct']	[(1393, 1)]	1
1893	[]	agree	yeah	['yes']	[(1389, 1)]	1
1894	[]	agree	ok	['okay']	[(1306, 1)]	1
1895	[]	agree	yes I do	['yes']	[(1389, 1)]	1
1896	[]	agree	yes I will	['yes']	[(1389, 1)]	1
1897	[]	agree	affirmative	['affirmative']	[(1395, 1)]	1
1898	[]	agree	That would be great	['would', 'great']	[(119, 1), (1065, 1)]	2
1899	[]	agree	Yes ok	['yes', 'okay']	[(1306, 1), (1389, 1)]	2
1900	[]	agree	K	['k']	[(1396, 1)]	1
1901	[]	agree	Yea	['yea']	[(1397, 1)]	1
1902	[]	agree	Yay	['yay']	[(1290, 1)]	1
1903	[]	agree	Yes I want to talk about it	['yes', 'want', 'talk']	[(59, 1), (1346, 1), (1389, 1)]	3
1904	[]	agree	Yes, I want to	['yes', 'want']	[(59, 1), (1389, 1)]	2
1905	[]	agree	Yes I would	['yes', 'would']	[(119, 1), (1389, 1)]	2
1906	[]	agree	Kay	['kay']	[(1398, 1)]	1
1907	[]	agree	Okay	['okay']	[(1306, 1)]	1
1908	[]	agree	Ok'	['ok']	[(1399, 1)]	1
1909	[]	agree	sokay	['sokay']	[(1407, 1)]	1
1910	[]	agree	ye	['ye']	[(1408, 1)]	1
1911	[]	agree	yea	['yea']	[(1397, 1)]	1
1912	[]	agree	hey yea	['hey', 'yea']	[(1397, 1), (1409, 1)]	2
1913	[]	agree	yes sir	['yes', 'sir']	[(1389, 1), (1410, 1)]	2
